Name_of_Space_Object,International_Designator,National_Designator_s1,Launch_Date,Launching_State,Launch_Site,Launch_Vehicle,Basic_Perigee,Basic_Apogee,Basic_Inclination,Current_Function,Status
,2025-085Q,,2025-04-28,,,,,,,,in orbit
,2025-085S,,2025-04-28,,,,,,,,in orbit
,2025-085T,,2025-04-28,,,,,,,,in orbit
,2025-085U,,2025-04-28,,,,,,,,in orbit
,2025-085V,,2025-04-28,,,,,,,,in orbit
,2025-085P,,2025-04-28,,,,,,,,in orbit
,2025-085R,,2025-04-28,,,,,,,,in orbit
,2025-085K,,2025-04-28,,,,,,,,in orbit
,2025-085M,,2025-04-28,,,,,,,,in orbit
,2025-085E,,2025-04-28,,,,,,,,in orbit
,2025-085F,,2025-04-28,,,,,,,,in orbit
,2025-085G,,2025-04-28,,,,,,,,in orbit
,2025-085H,,2025-04-28,,,,,,,,in orbit
,2025-085J,,2025-04-28,,,,,,,,in orbit
,2025-085L,,2025-04-28,,,,,,,,in orbit
,2025-085N,,2025-04-28,,,,,,,,in orbit
,2025-085Y,,2025-04-28,,,,,,,,in orbit
,2025-085W,,2025-04-28,,,,,,,,in orbit
,2025-085X,,2025-04-28,,,,,,,,in orbit
,2025-085A,,2025-04-28,,,,,,,,in orbit
,2025-085B,,2025-04-28,,,,,,,,in orbit
,2025-085C,,2025-04-28,,,,,,,,in orbit
,2025-085D,,2025-04-28,,,,,,,,in orbit
,2025-083E,,2025-04-25,,,,,,,,in orbit
,2025-083A,,2025-04-25,,,,,,,,in orbit
,2025-083B,,2025-04-25,,,,,,,,in orbit
,2025-083C,,2025-04-25,,,,,,,,in orbit
,2025-083D,,2025-04-25,,,,,,,,in orbit
,2025-083F,,2025-04-25,,,,,,,,in orbit
,2025-083G,,2025-04-25,,,,,,,,in orbit
,2025-083H,,2025-04-25,,,,,,,,in orbit
,2025-083J,,2025-04-25,,,,,,,,in orbit
,2025-083K,,2025-04-25,,,,,,,,in orbit
,2025-083L,,2025-04-25,,,,,,,,in orbit
,2025-083M,,2025-04-25,,,,,,,,in orbit
,2025-083N,,2025-04-25,,,,,,,,in orbit
,2025-083P,,2025-04-25,,,,,,,,in orbit
,2025-083Q,,2025-04-25,,,,,,,,in orbit
,2025-083S,,2025-04-25,,,,,,,,in orbit
,2025-083T,,2025-04-25,,,,,,,,in orbit
,2025-083U,,2025-04-25,,,,,,,,in orbit
