OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
ISS (ZARYA),1998-067A,25544,PAY,+,ISS,1998-11-20,TYMSC,,92.88,51.63,416,415,399.0524,,EA,ORB
POISK,2009-060A,36086,PAY,+,ISS,2009-11-10,TYMSC,,,,,,11.1757,NCE,25544,DOC
CSS (TIANHE),2021-035A,48274,PAY,+,PRC,2021-04-29,WSC,,92.44,41.46,397,391,,,EA,ORB
ISS (NAUKA),2021-066A,49044,PAY,+,CIS,2021-07-21,TYMSC,,,,,,,,25544,DOC
FREGAT DEB,2011-037PF,49271,DEB,,CIS,2011-07-18,TYMSC,,116.86,51.64,2303,777,,,EA,ORB
CSS (WENTIAN),2022-085A,53239,PAY,+,PRC,2022-07-24,WSC,,92.44,41.46,397,391,,,48274,DOC
CSS (MENGTIAN),2022-143A,54216,PAY,+,PRC,2022-10-31,WSC,,92.44,41.46,397,391,,,48274,DOC
PROGRESS-MS 30,2025-041B,63129,PAY,+,CIS,2025-02-27,TYMSC,,92.88,51.63,416,415,,,25544,DOC
SOYUZ-MS 27,2025-072A,63520,PAY,+,CIS,2025-04-08,TYMSC,,92.88,51.63,416,415,,,25544,DOC
SHENZHOU-20 (SZ-20),2025-082A,63632,PAY,+,PRC,2025-04-24,JSC,,92.44,41.46,397,391,,,48274,DOC
PROGRESS-MS 31,2025-146A,64751,PAY,+,CIS,2025-07-03,TYMSC,,92.88,51.63,416,415,,,25544,DOC
TIANZHOU-9,2025-149A,64786,PAY,+,PRC,2025-07-14,WSC,,92.44,41.47,397,391,,,48274,DOC
CREW DRAGON 11,2025-166A,65077,PAY,+,US,2025-08-01,AFETR,,92.88,51.63,416,415,,,25544,DOC
